year,male,female
1880,49,0
1881,52,0
1882,39,0
1883,47,0
1884,57,0
1885,50,0
1886,62,0
1887,46,0
1888,59,0
1889,42,0
1890,32,0
1891,32,0
1892,49,0
1893,40,0
1894,45,0
1895,41,0
1896,53,0
1897,35,0
1898,33,0
1899,36,0
1900,45,0
1901,26,0
1902,37,0
1903,35,0
1904,27,0
1905,25,0
1906,30,0
1907,29,0
1908,37,0
1909,48,0
1910,32,0
1911,43,0
1912,76,0
1913,81,0
1914,126,8
1915,145,0
1916,148,0
1917,145,6
1918,179,0
1919,128,7
1920,180,11
1921,147,6
1922,169,12
1923,155,14
1924,178,14
1925,182,7
1926,168,13
1927,153,15
1928,164,20
1929,171,16
1930,172,14
1931,154,15
1932,208,22
1933,142,17
1934,180,14
1935,181,19
1936,190,20
1937,197,26
1938,228,26
1939,246,30
1940,317,32
1941,321,44
1942,382,70
1943,447,102
1944,529,106
1945,551,129
1946,827,202
1947,1117,322
1948,1287,329
1949,1388,241
1950,1249,219
1951,1473,278
1952,1689,328
1953,1569,335
1954,1799,374
1955,2187,455
1956,2529,611
1957,3256,1021
1958,4454,1342
1959,5670,1408
1960,6500,1510
1961,7208,1568
1962,6786,1521
1963,6339,1422
1964,5639,1378
1965,5482,1089
1966,5256,860
1967,4620,728
1968,4251,669
1969,4288,528
1970,4464,458
1971,4296,324
1972,3478,275
1973,2705,239
1974,2279,204
1975,1963,201
1976,1603,188
1977,1492,162
1978,1338,129
1979,1265,119
1980,987,104
1981,831,76
1982,714,84
1983,647,50
1984,624,58
1985,609,52
1986,535,56
1987,512,37
1988,494,44
1989,539,29
1990,487,30
1991,511,39
1992,461,24
1993,445,28
1994,441,28
1995,488,23
1996,551,29
1997,532,19
1998,599,16
1999,623,15
2000,650,20
2001,695,20
2002,688,15
2003,678,14
2004,674,10
2005,721,9
2006,840,9
2007,904,16
2008,939,11
2009,860,10
2010,716,8
2011,580,0
2012,647,12
2013,621,11
2014,538,7
2015,565,8
2016,513,6
2017,454,5
